OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7.0,DOWNTOWN,47.6122,-122.33798999999999,1927.0,1.0,12.0,88434,0.0,Hotel,Hotel,88434.0,,,,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.5293,1276453.0,False,Compliant,,249.98,2.83
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7.0,DOWNTOWN,47.613170000000004,-122.33393000000001,1996.0,1.0,11.0,103566,15064.0,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,8664479.0,0.0,950425.1875,3242851.0,51450.81641,5145082.0,False,Compliant,,295.86,2.86
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,98101.0,7.0,DOWNTOWN,47.613929999999996,-122.3381,1969.0,1.0,41.0,956110,196718.0,Hotel,Hotel,756493.0,,,,,,43.0,96.0,97.69999695,241.89999390000003,244.10000609999997,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,,2089.28,2.19
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7.0,DOWNTOWN,47.61412,-122.33663999999999,1926.0,1.0,10.0,61320,0.0,Hotel,Hotel,61320.0,,,,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,6946800.5,2214446.25,811525.3125,2768924.0,18112.13086,1811213.0,False,Compliant,,286.43,4.67
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7.0,DOWNTOWN,47.61375,-122.34047,1980.0,1.0,18.0,175580,62000.0,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8000031,118.6999969,211.39999390000003,215.60000609999997,14172606.0,14656503.0,0.0,1573448.625,5368607.0,88039.98438,8803998.0,False,Compliant,,505.01,2.88
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,7.0,DOWNTOWN,47.61623,-122.33657,1999.0,1.0,2.0,97288,37198.0,Police Station,Police Station,88830.0,,,,,,,136.1000061,141.6000061,316.2999878,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.81641,4715182.0,False,Compliant,,301.81,3.1
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7.0,DOWNTOWN,47.6139,-122.33283,1926.0,1.0,11.0,83008,0.0,Hotel,Hotel,81352.0,,,,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,6062767.5,0.0,823919.875,2811215.0,29475.80078,2947580.0,False,Compliant,,176.14,2.12
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7.0,DOWNTOWN,47.61327,-122.33136,1926.0,1.0,8.0,102761,0.0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.890137,385189.0,False,Compliant,,221.51,2.16
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7.0,DOWNTOWN,47.602940000000004,-122.33263000000001,1904.0,1.0,15.0,163984,0.0,Hotel,Hotel,163984.0,,,,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,,392.16,2.39
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,98104.0,7.0,DOWNTOWN,47.60284,-122.33183999999999,1910.0,1.0,6.0,63712,1496.0,Multifamily Housing,Multifamily Housing,56132.0,,,,,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777.0,4807679.5,1039735.188,742091.1875,2532015.0,10020.25977,1002026.0,False,Compliant,,151.12,2.37
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7.0,DOWNTOWN,47.60695,-122.33413999999999,1969.0,1.0,11.0,153163,19279.0,Hotel,Hotel,133884.0,,,,,,30.0,119.59999850000001,124.3000031,228.1999969,233.0,16016644.0,16646930.0,5237165.5,1813489.875,6187627.0,45918.5,4591850.0,False,Compliant,,691.26,4.51
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,7.0,DOWNTOWN,47.60713,-122.33323,1998.0,1.0,25.0,333176,61161.0,Hotel,Hotel,336640.0,,,,,,36.0,80.0,80.40000153,199.0,199.3999939,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28586.99805,2858700.0,False,Compliant,,740.97,2.22
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,7.0,DOWNTOWN,47.60699,-122.33346,1928.0,1.0,9.0,65009,0.0,Hotel,Hotel,65009.0,,,,,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057.5,6358719.5,1656352.5,393610.6875,1343000.0,35967.05078,3596705.0,False,Compliant,,328.23,5.05
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,7.0,DOWNTOWN,47.608090000000004,-122.33211999999999,1980.0,1.0,33.0,315952,57600.0,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.39844,4083440.0,False,Compliant,,648.62,2.05
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,7.0,DOWNTOWN,47.60755,-122.33243999999999,1922.0,1.0,11.0,92190,25200.0,"Hotel, Parking",Hotel,67390.0,Parking,25200.0,,,,35.0,159.5,165.8999939,297.39999389999997,303.89999389999997,10750010.0,11179203.0,4870847.5,1123203.125,3832369.0,20467.93359,2046793.0,False,Compliant,,511.39,5.55
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,7.0,DOWNTOWN,47.60649,-122.33296999999999,2004.0,1.0,11.0,412000,57000.0,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,50.79999924,51.09999847,155.6000061,156.0,18588860.0,18706912.0,737559.5,5231916.0,17851297.0,0.0,0.0,False,Compliant,,181.38,0.44
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,7.0,DOWNTOWN,47.60546,-122.33278999999999,1930.0,1.0,6.0,103911,0.0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,76.59999847,78.40000153,157.3999939,159.6000061,9956396.0,10192124.0,4592347.5,1305354.125,4453868.0,9101.799805,910180.0,False,Compliant,,433.86,4.18
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,7.0,DOWNTOWN,47.606809999999996,-122.33078,1983.0,1.0,28.0,416281,85000.0,"Hotel, Parking",Hotel,348329.0,Parking,85000.0,,,,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756.0,34351920.0,0.0,6220773.0,21225277.0,123314.75,12331475.0,False,Compliant,,802.89,1.93
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,7.0,DOWNTOWN,47.60515,-122.33158999999999,1907.0,1.0,5.0,57452,0.0,"Office, Other, Other - Lodging/Residential, Restaurant, Social/Meeting Hall",Social/Meeting Hall,16442.0,Restaurant,15505.0,Office,9741.0,,,132.3999939,137.1000061,280.7000122,285.0,7606084.5,7877219.0,1776201.875,1103397.125,3764791.0,20650.91211,2065091.0,False,Compliant,,273.02,4.75
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,7.0,DOWNTOWN,47.60376,-122.33193999999999,1916.0,1.0,10.0,104352,0.0,Hotel,Hotel,104352.0,,,,,,39.0,97.30000305,97.30000305,225.5,225.5,10154608.0,10154608.0,3430862.0,1731644.125,5908370.0,8153.759765999999,815376.0,False,Compliant,,349.32,3.35
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,7.0,DOWNTOWN,47.60265,-122.33051,1916.0,1.0,10.0,540360,0.0,Courthouse,Courthouse,537150.0,,,,,,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468.0,47023088.0,0.0,7138872.5,24357833.0,206266.3125,20626631.0,False,Compliant,,1265.29,2.34
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,3.0,DOWNTOWN,47.60378,-122.32842,1985.0,1.0,19.0,385274,0.0,Other,Other,385274.0,,,,,,,124.1999969,128.6000061,229.5,232.89999390000003,47859812.0,49539212.0,0.0,5351014.5,18257661.0,296021.5,29602150.0,False,Compliant,,1699.45,4.41
28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,2.0,SOUTHEAST,47.545759999999994,-122.26853,1961.0,1.0,2.0,56228,0.0,K-12 School,K-12 School,58916.0,,,,,,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478.5,1713623.5,0.0,274605.9063,936955.0,6025.229004,602523.0,True,Error - Correct Default Data,,38.53,0.69
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4.0,NORTHEAST,47.65959,-122.31755,2001.0,1.0,6.0,88592,30586.0,"Hotel, Parking",Hotel,58006.0,Parking,30586.0,,,,84.0,63.20000076,63.29999924,148.0,148.5,3663534.5,3673186.75,0.0,664194.375,2266231.0,13973.03027,1397303.0,False,Compliant,,90.01,1.02
30,2016,NonResidential,University,Main Campus Center,1000 Lenora St.,98121.0,7.0,DOWNTOWN,47.618159999999996,-122.33628999999999,1928.0,1.0,7.0,126593,0.0,College/University,College/University,125000.0,,,,,,,90.69999695,97.5,173.0,180.0,11343686.0,12183313.0,0.0,1362096.75,4647474.0,66962.10938,6696211.0,False,Compliant,,388.04,3.07
