OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUse(kWh),SiteEnergyUseWN(kBtu),SiteEnergyUseWN(kWh),SteamUse(kBtu),SteamUse(kWh),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),NaturalGas(kWh),DefaultData,Comments,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,1.0,12,88434,0,Hotel,Hotel,88434.0,,,,,,60.0,81.69999695,84.30000305,182.5,189.0,7226362.5,24657372,7456910.0,25444032,2003882.0,6837529,1156514,3946027.0,12764.5293,1276453.0,4355438,False,,Compliant,,249.98,2.83
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,1.0,11,103566,15064,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933.0,28620815,8664479.0,29564429,0.0,0,950425,3242851.0,51450.81641,5145082.0,17555748,False,,Compliant,,295.86,2.86
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,98101.0,7,DOWNTOWN,47.61393,-122.3381,1969,1.0,41,956110,196718,Hotel,Hotel,756493.0,,,,,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024.0,247677204,73937112.0,252283895,21566554.0,73588136,14515435,49526664.0,14938.0,1493800.0,5097057,False,,Compliant,,2089.28,2.19
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,1.0,10,61320,0,Hotel,Hotel,61320.0,,,,,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584.0,23184082,6946800.5,23703466,2214446.25,7556004,811525,2768924.0,18112.13086,1811213.0,6180115,False,,Compliant,,286.43,4.67
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,1.0,18,175580,62000,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606.0,48358938,14656503.0,50010063,0.0,0,1573448,5368607.0,88039.98438,8803998.0,30040487,False,,Compliant,,505.01,2.88
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,1.0,2,97288,37198,Police Station,Police Station,88830.0,,,,,,,136.1000061,141.6000061,316.2999878,320.5,12086616.0,41241245,12581712.0,42930582,0.0,0,2160443,7371434.0,47151.81641,4715182.0,16088868,False,,Compliant,,301.81,3.1
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,1.0,11,83008,0,Hotel,Hotel,81352.0,,,,,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795.0,19649823,6062767.5,20687021,0.0,0,823919,2811215.0,29475.80078,2947580.0,10057560,False,,Compliant,,176.14,2.12
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,1.0,8,102761,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131.5,21490116,7067881.5,24116612,2276286.5,7767011,1065842,3636655.0,3851.890137,385189.0,1314319,False,,Compliant,,221.51,2.16
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,1.0,15,163984,0,Hotel,Hotel,163984.0,,,,,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820.0,46827617,14194054.0,48432122,0.0,0,2138897,7297919.0,64259.0,6425900.0,21926080,False,,Compliant,,392.16,2.39
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,98104.0,7,DOWNTOWN,47.60284,-122.33184,1910,1.0,6,63712,1496,Multifamily Housing,Multifamily Housing,56132.0,,,,,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777.0,15606374,4807679.5,16404483,1039735.188,3547723,742091,2532015.0,10020.25977,1002026.0,3419054,False,,Compliant,,151.12,2.37
