OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),DefaultData,ComplianceStatus,Outlier,TotalGHGEmissions,GHGEmissionsIntensity
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7.0,DOWNTOWN,47.61,-122.34,1927.0,1.0,12.0,88434,0.0,Hotel,Hotel,88434.0,,,,,,60.0,81.7,84.3,182.5,189.0,7226362.5,7456910.0,2003882.0,1156514.25,3946027.0,12764.53,1276453.0,False,Compliant,,249.98,2.83
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7.0,DOWNTOWN,47.61,-122.33,1996.0,1.0,11.0,103566,15064.0,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,61.0,94.8,97.9,176.1,179.4,8387933.0,8664479.0,0.0,950425.19,3242851.0,51450.82,5145082.0,False,Compliant,,295.86,2.86
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.34,1969.0,1.0,41.0,956110,196718.0,Hotel,Hotel,756493.0,,,,,,43.0,96.0,97.7,241.9,244.1,72587024.0,73937112.0,21566554.0,14515435.0,49526664.0,14938.0,1493800.0,False,Compliant,,2089.28,2.19
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7.0,DOWNTOWN,47.61,-122.34,1926.0,1.0,10.0,61320,0.0,Hotel,Hotel,61320.0,,,,,,56.0,110.8,113.3,216.2,224.0,6794584.0,6946800.5,2214446.25,811525.31,2768924.0,18112.13,1811213.0,False,Compliant,,286.43,4.67
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7.0,DOWNTOWN,47.61,-122.34,1980.0,1.0,18.0,175580,62000.0,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,75.0,114.8,118.7,211.4,215.6,14172606.0,14656503.0,0.0,1573448.62,5368607.0,88039.98,8803998.0,False,Compliant,,505.01,2.88
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,7.0,DOWNTOWN,47.62,-122.34,1999.0,1.0,2.0,97288,37198.0,Police Station,Police Station,88830.0,,,,,,,136.1,141.6,316.3,320.5,12086616.0,12581712.0,0.0,2160443.75,7371434.0,47151.82,4715182.0,False,Compliant,,301.81,3.1
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.33,1926.0,1.0,11.0,83008,0.0,Hotel,Hotel,81352.0,,,,,,27.0,70.8,74.5,146.6,154.7,5758795.0,6062767.5,0.0,823919.88,2811215.0,29475.8,2947580.0,False,Compliant,,176.14,2.12
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7.0,DOWNTOWN,47.61,-122.33,1926.0,1.0,8.0,102761,0.0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,61.3,68.8,141.7,152.3,6298131.5,7067881.5,2276286.5,1065842.75,3636655.0,3851.89,385189.0,False,Compliant,,221.51,2.16
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7.0,DOWNTOWN,47.6,-122.33,1904.0,1.0,15.0,163984,0.0,Hotel,Hotel,163984.0,,,,,,43.0,83.7,86.6,180.9,187.2,13723820.0,14194054.0,0.0,2138897.75,7297919.0,64259.0,6425900.0,False,Compliant,,392.16,2.39
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,98104.0,7.0,DOWNTOWN,47.6,-122.33,1910.0,1.0,6.0,63712,1496.0,Multifamily Housing,Multifamily Housing,56132.0,,,,,,1.0,81.5,85.6,182.7,187.4,4573777.0,4807679.5,1039735.19,742091.19,2532015.0,10020.26,1002026.0,False,Compliant,,151.12,2.37
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.33,1969.0,1.0,11.0,153163,19279.0,Hotel,Hotel,133884.0,,,,,,30.0,119.6,124.3,228.2,233.0,16016644.0,16646930.0,5237165.5,1813489.88,6187627.0,45918.5,4591850.0,False,Compliant,,691.26,4.51
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,7.0,DOWNTOWN,47.61,-122.33,1998.0,1.0,25.0,333176,61161.0,Hotel,Hotel,336640.0,,,,,,36.0,80.0,80.4,199.0,199.4,26941110.0,27070114.0,5999360.5,5299838.5,18083049.0,28587.0,2858700.0,False,Compliant,,740.97,2.22
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,7.0,DOWNTOWN,47.61,-122.33,1928.0,1.0,9.0,65009,0.0,Hotel,Hotel,65009.0,,,,,,48.0,101.5,97.8,153.6,149.8,6596057.5,6358719.5,1656352.5,393610.69,1343000.0,35967.05,3596705.0,False,Compliant,,328.23,5.05
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,7.0,DOWNTOWN,47.61,-122.33,1980.0,1.0,33.0,315952,57600.0,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,58.0,75.5,76.2,179.9,180.7,22325364.0,22524948.0,4337738.5,4075083.0,13904183.0,40834.4,4083440.0,False,Compliant,,648.62,2.05
