OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,405 OLIVE WAY,98101.0,7.0,DOWNTOWN,47.61219025,-122.33799744,1927,12.0,1.0,88434,0,,65.0,78.9,80.3,173.5,175.1,6981428,7097539,2023032.0,3686160,1080307.0,12724.0,1272388,249.43,2.64
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,724 PINE ST,98101.0,7.0,DOWNTOWN,47.61310583,-122.33335756,1996,11.0,1.0,103566,15064,,51.0,94.4,99.0,191.3,195.2,8354235,8765788,0.0,3905411,1144563.0,44490.0,4448985,263.51,2.38
3,2015,NonResidential,Hotel,WESTIN HOTEL,1900 5TH AVE,98101.0,7.0,DOWNTOWN,47.61334897,-122.33769944,1969,41.0,1.0,961990,0,,18.0,96.6,99.7,242.7,246.5,73130656,75506272,19660404.0,49762435,14583930.0,37099.0,3709900,2061.48,1.92
5,2015,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7.0,DOWNTOWN,47.61421585,-122.33660889,1926,10.0,1.0,61320,0,,1.0,460.4,462.5,636.3,643.2,28229320,28363444,23458518.0,2769023,811521.0,20019.0,2001894,1936.34,31.38
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,401 LENORA ST,98121.0,7.0,DOWNTOWN,47.6137544,-122.3409238,1980,18.0,1.0,119890,12460,,67.0,120.1,122.1,228.8,227.1,14829099,15078243,0.0,6066245,1777841.0,87631.0,8763105,507.7,4.02
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,98101.0,7.0,DOWNTOWN,47.6164389,-122.33676431,1999,2.0,1.0,97288,37198,,,135.7,146.9,313.5,321.6,12051984,13045258,0.0,7271004,2130921.0,47813.0,4781283,304.62,2.81
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,1619 9TH AVE,98101.0,7.0,DOWNTOWN,47.6141141,-122.33274086,1926,11.0,1.0,83008,0,,25.0,76.9,79.6,149.5,158.2,6252842,6477493,0.0,2679698,785342.0,35733.0,3573255,208.46,2.37
11,2015,NonResidential,Other,PARAMOUNT THEATER,901 PINE ST,98101.0,7.0,DOWNTOWN,47.61290234,-122.33130949,1926,8.0,1.0,102761,0,,,62.5,71.8,152.2,160.4,6426022,7380086,2003108.0,4108004,1203937.0,3151.0,315079,199.99,1.77
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,612 2ND AVE,98104.0,7.0,DOWNTOWN,47.60258934,-122.33255325,1904,15.0,1.0,163984,0,,46.0,77.0,82.9,174.6,186.8,12633744,13589025,0.0,7355649,2155728.0,52784.0,5278400,331.61,1.83
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,607 3RD AVE,98104.0,7.0,DOWNTOWN,47.60278416,-122.33214887,1910,6.0,1.0,63712,1496,,2.0,81.7,92.7,178.1,190.8,4587231,5203458,1483476.0,2370050,694593.0,7338.0,733803,170.0,2.51
15,2015,NonResidential,Hotel,HOTEL MONACO,1101 4TH AVE,98101.0,7.0,DOWNTOWN,47.60712147,-122.33431932,1969,11.0,1.0,153163,19279,,48.0,101.1,107.2,200.8,205.2,14719853,15615929,3623542.0,6337531,1857347.0,47590.0,4759044,576.63,3.59
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,1112 4TH AVE,98101.0,7.0,DOWNTOWN,47.60718204,-122.33347215,1998,25.0,1.0,333176,61161,,32.0,82.3,83.1,207.2,208.0,27717026,27970822,5426396.0,19058722,5585560.0,32327.0,3232700,723.4,1.93
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,400 SPRING ST,98104.0,7.0,DOWNTOWN,47.60709939,-122.33310536,1928,9.0,1.0,65009,0,,39.0,104.7,96.8,166.5,158.2,6807227,6292213,1987163.0,1615057,473326.0,32051.0,3205074,334.87,5.04
18,2015,NonResidential,Hotel,CROWNE PLAZA,1113 6TH AVE,98101.0,7.0,DOWNTOWN,47.60809326,-122.33211517,1980,33.0,1.0,315952,57600,,56.0,77.2,77.2,183.2,183.2,22811690,22811690,4731090.0,14090906,4129637.0,39903.0,3990280,675.34,1.95
19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,1100 5TH AVE,98101.0,7.0,DOWNTOWN,47.60761642,-122.3323288,1922,11.0,1.0,67390,0,,14.0,166.1,175.7,317.4,326.0,10711451,11329230,4403788.0,4089407,1198487.0,22184.0,2218425,486.25,6.95
21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,1000 4TH AVE,98104.0,7.0,DOWNTOWN,47.60667501,-122.33226425,2004,11.0,1.0,412000,57000,,,46.0,45.3,140.8,137.6,16849234,16594622,703184.0,16146718,4732136.0,0.0,0,166.84,0.24
