OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,2016,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7,DOWNTOWN,47.6122,-122.33799,1927,12,1.0,88434,0,,60.0,81.69999695,84.30000305,182.5,189.0,7226362,7456910,2003882.0,3946027,1156514.25,12764.5293,1276453,249.98,2.83
2,2016,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7,DOWNTOWN,47.61317,-122.33393,1996,11,1.0,103566,15064,,61.0,94.80000305,97.90000153,176.1000061,179.3999939,8387933,8664479,0.0,3242851,950425.1875,51450.81641,5145082,295.86,2.86
3,2016,NonResidential,Hotel,5673-The Westin Seattle,1900 5th Avenue,98101.0,7,DOWNTOWN,47.61393,-122.3381,1969,41,1.0,956110,196718,,43.0,96.0,97.69999695,241.8999939,244.1000061,72587024,73937112,21566554.0,49526664,14515435.0,14938.0,1493800,2089.28,2.19
5,2016,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7,DOWNTOWN,47.61412,-122.33664,1926,10,1.0,61320,0,,56.0,110.8000031,113.3000031,216.1999969,224.0,6794584,6946800,2214446.25,2768924,811525.3125,18112.13086,1811213,286.43,4.67
8,2016,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7,DOWNTOWN,47.61375,-122.34047,1980,18,1.0,175580,62000,,75.0,114.8000031,118.6999969,211.3999939,215.6000061,14172606,14656503,0.0,5368607,1573448.625,88039.98438,8803998,505.01,2.88
9,2016,Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,7,DOWNTOWN,47.61623,-122.33657,1999,2,1.0,97288,37198,,,136.1000061,141.6000061,316.2999878,320.5,12086616,12581712,0.0,7371434,2160443.75,47151.81641,4715182,301.81,3.1
10,2016,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7,DOWNTOWN,47.6139,-122.33283,1926,11,1.0,83008,0,,27.0,70.80000305,74.5,146.6000061,154.6999969,5758795,6062767,0.0,2811215,823919.875,29475.80078,2947580,176.14,2.12
11,2016,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7,DOWNTOWN,47.61327,-122.33136,1926,8,1.0,102761,0,,,61.29999924,68.80000305,141.6999969,152.3000031,6298131,7067881,2276286.5,3636655,1065842.75,3851.890137,385189,221.51,2.16
12,2016,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7,DOWNTOWN,47.60294,-122.33263,1904,15,1.0,163984,0,,43.0,83.69999695,86.59999847,180.8999939,187.1999969,13723820,14194054,0.0,7297919,2138897.75,64259.0,6425900,392.16,2.39
13,2016,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,98104.0,7,DOWNTOWN,47.60284,-122.33184,1910,6,1.0,63712,1496,,1.0,81.5,85.59999847,182.6999969,187.3999939,4573777,4807679,1039735.188,2532015,742091.1875,10020.25977,1002026,151.12,2.37
15,2016,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7,DOWNTOWN,47.60695,-122.33414,1969,11,1.0,153163,19279,,30.0,119.5999985,124.3000031,228.1999969,233.0,16016644,16646930,5237165.5,6187627,1813489.875,45918.5,4591850,691.26,4.51
16,2016,NonResidential,Hotel,5679-W Seattle,1112 Fourth Avenue,98101.0,7,DOWNTOWN,47.60713,-122.33323,1998,25,1.0,333176,61161,,36.0,80.0,80.40000153,199.0,199.3999939,26941110,27070114,5999360.5,18083049,5299838.5,28586.99805,2858700,740.97,2.22
17,2016,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,7,DOWNTOWN,47.60699,-122.33346,1928,9,1.0,65009,0,,48.0,101.5,97.80000305,153.6000061,149.8000031,6596057,6358719,1656352.5,1343000,393610.6875,35967.05078,3596705,328.23,5.05
18,2016,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,7,DOWNTOWN,47.60809,-122.33212,1980,33,1.0,315952,57600,,58.0,75.5,76.19999695,179.8999939,180.6999969,22325364,22524948,4337738.5,13904183,4075083.0,40834.39844,4083440,648.62,2.05
19,2016,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,7,DOWNTOWN,47.60755,-122.33244,1922,11,1.0,92190,25200,,35.0,159.5,165.8999939,297.3999939,303.8999939,10750010,11179203,4870847.5,3832369,1123203.125,20467.93359,2046793,511.39,5.55
21,2016,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,7,DOWNTOWN,47.60649,-122.33297,2004,11,1.0,412000,57000,,,50.79999924,51.09999847,155.6000061,156.0,18588860,18706912,737559.5,17851297,5231916.0,0.0,0,181.38,0.44
22,2016,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,7,DOWNTOWN,47.60546,-122.33279,1930,6,1.0,103911,0,,,76.59999847,78.40000153,157.3999939,159.6000061,9956396,10192124,4592347.5,4453868,1305354.125,9101.799805,910180,433.86,4.18
23,2016,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,7,DOWNTOWN,47.60681,-122.33078,1983,28,1.0,416281,85000,,31.0,96.30000305,98.59999847,228.5,232.8000031,33556756,34351920,0.0,21225277,6220773.0,123314.75,12331475,802.89,1.93
24,2016,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,7,DOWNTOWN,47.60515,-122.33159,1907,5,1.0,57452,0,,,132.3999939,137.1000061,280.7000122,285.0,7606084,7877219,1776201.875,3764791,1103397.125,20650.91211,2065091,273.02,4.75
25,2016,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,7,DOWNTOWN,47.60376,-122.33194,1916,10,1.0,104352,0,,39.0,97.30000305,97.30000305,225.5,225.5,10154608,10154608,3430862.0,5908370,1731644.125,8153.759766,815376,349.32,3.35
26,2016,NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,7,DOWNTOWN,47.60265,-122.33051,1916,10,1.0,540360,0,,76.0,83.69999695,87.5,182.6999969,186.6999969,44984468,47023088,0.0,24357833,7138872.5,206266.3125,20626631,1265.29,2.34
27,2016,NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,3,DOWNTOWN,47.60378,-122.32842,1985,19,1.0,385274,0,,,124.1999969,128.6000061,229.5,232.8999939,47859812,49539212,0.0,18257661,5351014.5,296021.5,29602150,1699.45,4.41
28,2016,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,2,SOUTHEAST,47.54576,-122.26853,1961,2,1.0,56228,0,,95.0,26.10000038,29.10000038,60.70000076,64.59999847,1539478,1713623,0.0,936955,274605.9063,6025.229004,602523,38.53,0.69
29,2016,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4,NORTHEAST,47.65959,-122.31755,2001,6,1.0,88592,30586,,84.0,63.20000076,63.29999924,148.0,148.5,3663534,3673186,0.0,2266231,664194.375,13973.03027,1397303,90.01,1.02
