OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,2017,NonResidential,Hotel,Mayflower park hotel,405 Olive way,98101.0,7.0,DOWNTOWN,47.6122,-122.33799,1927,12,1.0,88434,0,0.0,63.0,83.2,82.3,184.4,181.6,7361655,7274452,2122835,3950356,1157783,12884,1288462,197.63,2.235
2,2017,NonResidential,Hotel,Paramount Hotel,724 Pine street,98101.0,7.0,DOWNTOWN,47.61317,-122.33393,1996,11,1.0,103566,15064,0.0,72.0,88.2,86.8,163.8,159.8,7804844,7678810,0,3016757,884161,47880,4788086,266.78,2.576
3,2017,Campus,Hotel,84SC9-The Westin Seattle,1900 5th Avenue,98101.0,7.0,DOWNTOWN,47.61393,-122.3381,1969,41,1.0,956110,196718,0.0,48.0,98.4,98.2,242.9,242.6,74470328,74311368,24313482,48712840,14276917,14440,1444000,1570.75,1.643
5,2017,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7.0,DOWNTOWN,47.61412,-122.33664,1926,10,1.0,61320,0,0.0,51.0,120.2,119.0,234.3,230.3,7372221,7294312,2228119,3008513,881744,21355,2135587,244.32,3.984
8,2017,NonResidential,Hotel,WARWICK SEATTLE HOTEL (ID8),401 LENORA ST,98121.0,7.0,DOWNTOWN,47.61375,-122.34047,1980,18,1.0,175580,62000,0.0,78.0,116.1,114.1,209.9,205.5,14335778,14081251,0,5198201,1523505,91375,9137575,506.8,2.886
9,2017,Nonresidential COS,Other,West Precinct,810 Virginia St,98101.0,7.0,DOWNTOWN,47.61623,-122.33657,1999,2,1.0,97288,37198,0.0,,261.1,261.0,591.7,591.4,13250532,13249402,0,7711199,2260023,55393,5539331,326.1,3.352
10,2017,NonResidential,Hotel,Camlin,1619 9th Avenue,98101.0,7.0,DOWNTOWN,47.6139,-122.33283,1926,11,1.0,83008,0,0.0,33.0,72.5,70.8,148.6,143.3,5901084,5763338,0,2821450,826919,30796,3079632,175.23,2.111
11,2017,NonResidential,Other,Paramount Theatre,911 Pine St,98101.0,7.0,DOWNTOWN,47.61327,-122.33136,1926,8,1.0,102761,0,0.0,,71.6,69.8,161.8,159.7,7356191,7176510,2886288,4048362,1186507,4215,421539,192.57,1.874
12,2017,NonResidential,Hotel,311wh-Pioneer Square,612 2nd Ave,98104.0,7.0,DOWNTOWN,47.60294,-122.33263,1904,15,1.0,163984,0,0.0,44.0,90.5,89.9,188.2,186.1,14847579,14735695,0,7306577,2141435,75410,7541000,430.73,2.627
13,2017,Multifamily MR (5-9),Mid-Rise Multifamily,Lyon Building,607 - 3rd Ave.,98104.0,7.0,DOWNTOWN,47.60284,-122.33184,1910,6,1.0,63712,1496,0.0,2.0,89.8,89.5,189.5,189.1,5042044,5022714,1511604,2445026,716596,10854,1085413,148.12,2.325
15,2017,NonResidential,Hotel,Hotel Monaco Seattle,1101 4th Avenue,98101.0,7.0,DOWNTOWN,47.60695,-122.33414,1969,11,1.0,153163,19279,0.0,35.0,120.0,119.2,227.0,225.9,16066496,15958532,5702268,6051790,1773678,43124,4312437,557.21,3.638
16,2017,NonResidential,Hotel,42SCF-W Seattle,1112 Fourth Avenue,98101.0,7.0,DOWNTOWN,47.60713,-122.33323,1998,25,1.0,333176,61161,0.0,38.0,88.4,87.1,217.2,213.1,27806852,27384446,6340211,18259237,5351476,32074,3207400,582.94,1.75
17,2017,NonResidential,Hotel,Executive Pacific Plaza,400 Spring Street,98104.0,7.0,DOWNTOWN,47.60699,-122.33346,1928,9,1.0,65009,0,0.0,94.0,73.0,73.0,88.5,88.5,4742757,4742757,1569480,253895,74412,29193,2919380,239.53,3.685
18,2017,NonResidential,Hotel,Crowne Plaza Hotel Seattle,1113 6th Ave,98101.0,7.0,DOWNTOWN,47.60809,-122.33212,1980,33,1.0,353111,57600,0.0,65.0,75.4,0.0,176.7,0.0,22282796,0,0,13684145,4010593,72189,7218978,440.01,1.246
19,2017,NonResidential,Hotel,Hotel Vintage Seattle,1100 5th Avenue,98101.0,7.0,DOWNTOWN,47.60755,-122.33244,1922,11,1.0,92190,25200,0.0,34.0,172.2,171.3,310.8,309.7,11603445,11542387,5626128,3781231,1108215,21960,2196084,431.37,4.679
21,2017,Nonresidential COS,Other,The Seattle Public Library - Central Library,1000 Fourth Avenue,98154.0,7.0,DOWNTOWN,47.60649,-122.33297,2004,11,1.0,412000,57000,0.0,,43.7,43.6,133.2,133.1,15986807,15965283,753683,15233121,4464572,0,0,103.09,0.25
22,2017,NonResidential,Other,Downtown Seattle YMCA,909 4th Avenue,98104.0,7.0,DOWNTOWN,47.60546,-122.33279,1930,6,1.0,103911,0,0.0,,93.7,93.7,190.4,190.4,12175522,12177365,5704005,5305695,1555010,11658,1165821,387.1,3.725
23,2017,NonResidential,Hotel,Renaissance Seattle Hotel,515 Madison Street,98104.0,7.0,DOWNTOWN,47.60681,-122.33078,1983,28,1.0,416281,85000,0.0,37.0,97.5,95.7,226.7,222.3,33959408,33326178,0,20715717,6071429,132436,13243685,789.08,1.896
24,2017,NonResidential,Mixed Use Property,The Rainier Club,820 4th Ave.,98104.0,7.0,DOWNTOWN,47.60515,-122.33159,1907,5,1.0,57452,0,0.0,,129.1,128.3,263.8,262.9,7418679,7371858,1574400,3408358,998932,24359,2435919,227.17,3.954
25,2017,NonResidential,Hotel,Arctic Club Seattle,700 3rd Ave,98104.0,7.0,DOWNTOWN,47.60376,-122.33194,1916,10,1.0,104352,0,0.0,53.0,85.1,85.1,205.1,205.1,8884319,8884319,2744007,5575491,1634083,5648,564820,198.94,1.906
26,2017,NonResidential,Other,King County Courthouse,516 3RD AVE,98104.0,7.0,DOWNTOWN,47.60265,-122.33051,1916,10,1.0,540360,0,0.0,75.0,91.0,89.6,192.0,190.5,48880476,48101932,0,24781750,7263115,240987,24098721,1382.41,2.558
27,2017,NonResidential,Other,King County Correctional Facility,500 5TH AVE,98104.0,3.0,DOWNTOWN,47.60378,-122.32842,1985,19,1.0,385274,0,0.0,,124.0,123.0,210.2,209.2,47756124,47386200,0,14754917,4324419,330012,33001203,1813.74,4.708
28,2017,SPS-District K-12,K-12 School,Graham Hill Elementary,5149 S. Graham St.,98118.0,2.0,SOUTHEAST,47.54576,-122.26853,1961,2,1.0,56228,0,0.0,95.0,28.6,27.8,61.6,60.9,1682550,1639540,0,891721,261348,7908,790829,45.69,0.813
29,2017,NonResidential,Hotel,WATERTOWN HOTEL,4242 ROOSEVELT WAY NE,98105.0,4.0,NORTHEAST,47.65959,-122.31755,2001,6,1.0,88592,30586,0.0,90.0,57.0,56.0,131.2,128.8,3863650,3791958,0,2313280,677983,15503,1550368,91.91,1.037
30,2017,NonResidential,University,Main Campus Center,1000 Lenora St.,98121.0,7.0,DOWNTOWN,47.61816,-122.33629,1928,7,1.0,126593,0,0.0,,97.3,97.4,181.5,181.6,12163565,12169801,0,4747347,1391368,74162,7416217,413.52,3.266
32,2017,NonResidential,Hotel,Homewood Suites,1011 Pike ST,98101.0,7.0,EAST,47.61301,-122.32929,1991,8,1.0,158676,30301,0.0,,45.7,45.7,56.8,56.8,5351128,5351723,0,495830,145319,48552,4855297,259.92,1.638
33,2017,NonResidential,Hotel,Marriott Springhill Suites,1800 Yale Ave,98101.0,7.0,DOWNTOWN,47.61784,-122.32966,2001,10,1.0,171866,38281,0.0,58.0,89.8,88.2,186.6,183.3,11581091,11364507,0,5694083,1668840,58870,5887006,336.22,1.956
34,2017,SPS-District K-12,K-12 School,Meany Building,301/300 21st Ave. E.,98112.0,3.0,Central,47.62266,-122.30547,1955,1,1.0,126351,0,0.0,99.0,27.4,27.4,41.5,41.5,3468018,3462376,0,767933,225068,27000,2700084,146.58,1.16
35,2017,NonResidential,Hotel,Hotel Five,2200 5th ave,98121.0,7.0,DOWNTOWN,47.61558,-122.34186,1978,5,1.0,68410,16200,0.0,71.0,83.8,83.0,184.7,182.1,4376607,4332159,0,2416376,708199,19602,1960229,114.1,1.668
36,2017,SPS-District K-12,K-12 School,Jane Addams Middle,11051 34th Ave. N.E.,98125.0,5.0,NORTH,47.70994,-122.29301,1949,2,1.0,160645,0,0.0,70.0,48.0,46.4,74.5,72.8,7890891,7620227,0,1891909,554486,59989,5998982,326.43,2.032
37,2017,SPS-District K-12,K-12 School,John Hay Elementary,201 Garfield St.,98109.0,7.0,MAGNOLIA / QUEEN ANNE,47.6329,-122.35172,1989,2,1.0,51582,0,0.0,96.0,26.6,26.6,83.5,83.6,1467507,1468128,0,1467506,430101,0,0,6.07,0.118
38,2017,NonResidential,Small- and Mid-Sized Office,Good Shepherd Center,4649 Sunnyside Ave. N.,98070.0,1.0,LAKE UNION,47.6641,-122.33118,1906,3,1.0,87262,0,0.0,,67.1,65.4,108.5,106.8,4523929,4410662,0,1227619,359794,32963,3296308,180.15,2.064
40,2017,NonResidential,Hotel,Silver Cloud University,5036 25th Ave NE,98105.0,4.0,NORTHEAST,47.66583,-122.29965,1994,4,1.0,81871,0,0.0,28.0,87.7,86.5,173.9,170.4,7177935,7085024,0,3207640,940105,39702,3970294,224.13,2.738
41,2017,NonResidential,Self-Storage Facility,08781-University Village,2746 Ne 45th St Suite 100,98105.0,4.0,NORTHEAST,47.66172,-122.29598,1955,2,1.0,110356,0,0.0,,11.2,11.2,31.2,31.2,294099,293061,0,244299,71600,498,49800,3.66,0.033
