OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofFloors,NumberofBuildings,PropertyGFATotal,PropertyGFAParking,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(kBtu),Electricity(kBtu),Electricity(kWh),NaturalGas(therms),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1,2020,NonResidential,,MAYFLOWER PARK HOTEL,405 OLIVE WAY,98101.0,1.0,DOWNTOWN,47.6122,-122.33799,1927,12,1,88434,0,,92.0,54.6,55.7,113.9,116.3,4923562,4824773,1457837,2734351,801392,6326,632586,169.1,1.9
2,2020,NonResidential,,PARAMOUNT HOTEL,724 PINE ST,98101.0,1.0,DOWNTOWN,47.61317,-122.33393,1996,11,1,103566,15064,,99.0,40.7,40.7,81.1,81.1,3601694,3601694,0,1940292,568667,16614,1661402,98.6,1.1
3,2020,NonResidential,,WESTIN HOTEL (Parent Building),1900 5TH AVE,98101.0,1.0,DOWNTOWN,47.61367,-122.33822,1969,41,3,956110,196718,,98.0,44.1,44.1,101.7,101.7,36772776,36772776,10359896,25517379,7478716,8955,895500,1043.2,1.4
5,2020,NonResidential,,HOTEL MAX,620 STEWART ST,98101.0,1.0,DOWNTOWN,47.61412,-122.33664,1926,10,1,61320,0,,97.0,48.6,48.6,87.0,87.0,2982710,2982710,917724,1177927,345231,8871,887059,129.6,2.1
8,2020,NonResidential,,WARWICK SEATTLE HOTEL,401 LENORA ST,98121.0,1.0,DOWNTOWN,47.61375,-122.34047,1980,18,1,175580,62000,,98.0,67.8,67.8,124.5,124.5,8364978,8364978,0,3761566,1102452,46034,4603411,264.5,2.3
9,2020,Nonresidential COS,,WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,98101.0,1.0,DOWNTOWN,47.61623,-122.33657,1999,2,1,97288,37198,,,208.1,211.6,449.9,451.7,10738242,10564125,0,6709050,1966310,38551,3855075,240.4,4.0
10,2020,NonResidential,,CAMLIN WORLDMARK HOTEL,1619 9TH AVE,98101.0,1.0,DOWNTOWN,47.6139,-122.33283,1926,11,1,83008,0,,79.0,54.6,55.8,100.8,101.9,4537828,4438085,0,2023043,592920,24150,2415042,139.0,1.7
11,2020,NonResidential,,PARAMOUNT THEATER,901 PINE ST,98101.0,1.0,DOWNTOWN,47.61327,-122.33136,1926,8,1,102761,0,,,50.5,52.8,100.8,103.4,5425254,5191280,2154491,2613508,765975,4233,423281,215.2,2.1
12,2020,NonResidential,,COURTYARD BY MARRIOTT - PIONEER SQ,612 2ND AVE,98104.0,7.0,DOWNTOWN,47.60294,-122.33263,1904,15,1,163984,0,,92.0,61.4,62.8,114.9,116.4,10302436,10073317,0,4721618,1383827,53517,5351700,309.3,1.9
13,2020,Multifamily MR (5-9),,LYON BUILDING,607 3RD AVE,98104.0,1.0,DOWNTOWN,47.60284,-122.33184,1910,6,1,63712,1496,,7.0,73.6,75.9,150.8,153.4,4257949,4133819,1098704,2262010,662957,7731,773105,144.3,2.3
15,2020,NonResidential,,HOTEL MONACO,1101 4TH AVE,98101.0,1.0,DOWNTOWN,47.60695,-122.33414,1969,11,1,153163,19279,,51.0,85.4,86.6,164.6,165.8,13396252,13215270,2686114,6389956,1872789,41392,4139200,476.8,3.6
