OSEBuildingID,DataYear,BuildingType,PrimaryPropertyType,PropertyName,Address,ZipCode,CouncilDistrictCode,Neighborhood,Latitude,Longitude,YearBuilt,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,ListOfAllPropertyUseTypes,LargestPropertyUseType,LargestPropertyUseTypeGFA,SecondLargestPropertyUseType,SecondLargestPropertyUseTypeGFA,ThirdLargestPropertyUseType,ThirdLargestPropertyUseTypeGFA,YearsENERGYSTARCertified,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUse(kWh),SiteEnergyUseWN(kBtu),SiteEnergyUseWN(kWh),SteamUse(kBtu),SteamUse(kWh),Electricity(kWh),Electricity(kBtu),NaturalGas(therms),NaturalGas(kBtu),NaturalGas(kWh),OtherFuelUse(kBtu),TotalGHGEmissions,GHGEmissionsIntensity,DefaultData,Comment,ComplianceStatus,Outlier
1,2015,NonResidential,Hotel,MAYFLOWER PARK HOTEL,405 OLIVE WAY,98101.0,7,DOWNTOWN,47.61219025,-122.33799744,1927,1,12.0,88434,0,Hotel,Hotel,88434.0,,,,,,65.0,78.9,80.3,173.5,175.1,6981428.0,23821620,7097539.0,24217808,2023032.0,6902871,1080307,3686160.0,12724.0,1272388.0,4341568,0.0,249.43,2.64,No,,Compliant,
2,2015,NonResidential,Hotel,PARAMOUNT HOTEL,724 PINE ST,98101.0,7,DOWNTOWN,47.61310583,-122.33335756,1996,1,11.0,103566,15064,"Hotel, Parking, Restaurant",Hotel,83880.0,Parking,15064.0,Restaurant,4622.0,,51.0,94.4,99.0,191.3,195.2,8354235.0,28505832,8765788.0,29910109,0.0,0,1144563,3905411.0,44490.0,4448985.0,15180566,0.0,263.51,2.38,No,,Compliant,
3,2015,NonResidential,Hotel,WESTIN HOTEL,1900 5TH AVE,98101.0,7,DOWNTOWN,47.61334897,-122.33769944,1969,1,41.0,961990,0,"Hotel, Parking, Swimming Pool",Hotel,757243.0,Parking,100000.0,Swimming Pool,0.0,,18.0,96.6,99.7,242.7,246.5,73130656.0,249532153,75506272.0,257638091,19660404.0,67084082,14583930,49762435.0,37099.0,3709900.0,12658704,0.0,2061.48,1.92,Yes,,Compliant,
5,2015,NonResidential,Hotel,HOTEL MAX,620 STEWART ST,98101.0,7,DOWNTOWN,47.61421585,-122.33660889,1926,1,10.0,61320,0,Hotel,Hotel,61320.0,,,,,,1.0,460.4,462.5,636.3,643.2,28229320.0,96322437,28363444.0,96780087,23458518.0,80043785,811521,2769023.0,20019.0,2001894.0,6830745,0.0,1936.34,31.38,No,,Compliant,High Outlier
8,2015,NonResidential,Hotel,WARWICK SEATTLE HOTEL,401 LENORA ST,98121.0,7,DOWNTOWN,47.6137544,-122.3409238,1980,1,18.0,119890,12460,"Hotel, Parking, Swimming Pool",Hotel,123445.0,Parking,68009.0,Swimming Pool,0.0,,67.0,120.1,122.1,228.8,227.1,14829099.0,50598985,15078243.0,51449100,0.0,0,1777841,6066245.0,87631.0,8763105.0,29900955,0.0,507.7,4.02,No,,Compliant,
9,2015,Nonresidential COS,Other,WEST PRECINCT (SEATTLE POLICE),810 VIRGINIA ST,98101.0,7,DOWNTOWN,47.6164389,-122.33676431,1999,1,2.0,97288,37198,Police Station,Police Station,88830.0,,,,,,,135.7,146.9,313.5,321.6,12051984.0,41123075,13045258.0,44512267,0.0,0,2130921,7271004.0,47813.0,4781283.0,16314414,0.0,304.62,2.81,No,,Compliant,
10,2015,NonResidential,Hotel,CAMLIN WORLDMARK HOTEL,1619 9TH AVE,98101.0,7,DOWNTOWN,47.6141141,-122.33274086,1926,1,11.0,83008,0,Hotel,Hotel,81352.0,,,,,,25.0,76.9,79.6,149.5,158.2,6252842.0,21335582,6477493.0,22102123,0.0,0,785342,2679698.0,35733.0,3573255.0,12192452,0.0,208.46,2.37,No,,Compliant,
11,2015,NonResidential,Other,PARAMOUNT THEATER,901 PINE ST,98101.0,7,DOWNTOWN,47.61290234,-122.33130949,1926,1,8.0,102761,0,Other - Entertainment/Public Assembly,Other - Entertainment/Public Assembly,102761.0,,,,,,,62.5,71.8,152.2,160.4,6426022.0,21926496,7380086.0,25181898,2003108.0,6834888,1203937,4108004.0,3151.0,315079.0,1075094,0.0,199.99,1.77,No,,Compliant,
12,2015,NonResidential,Hotel,COURTYARD BY MARRIOTT - ALASKA BLDG SEATTLE,612 2ND AVE,98104.0,7,DOWNTOWN,47.60258934,-122.33255325,1904,1,15.0,163984,0,Hotel,Hotel,163984.0,,,,,,46.0,77.0,82.9,174.6,186.8,12633744.0,43108123,13589025.0,46367677,0.0,0,2155728,7355649.0,52784.0,5278400.0,18010648,0.0,331.61,1.83,No,,Compliant,
13,2015,Multifamily MR (5-9),Mid-Rise Multifamily,LYON BUILDING,607 3RD AVE,98104.0,7,DOWNTOWN,47.60278416,-122.33214887,1910,1,6.0,63712,1496,Multifamily Housing,Multifamily Housing,56132.0,,,,,,2.0,81.7,92.7,178.1,190.8,4587231.0,15652281,5203458.0,17754935,1483476.0,5061830,694593,2370050.0,7338.0,733803.0,2503839,0.0,170.0,2.51,No,,Compliant,
15,2015,NonResidential,Hotel,HOTEL MONACO,1101 4TH AVE,98101.0,7,DOWNTOWN,47.60712147,-122.33431932,1969,1,11.0,153163,19279,,,,,,,,,48.0,101.1,107.2,200.8,205.2,14719853.0,50226222,15615929.0,53283760,3623542.0,12364038,1857347,6337531.0,47590.0,4759044.0,16238532,0.0,576.63,3.59,No,,Compliant,
16,2015,NonResidential,Hotel,W SEATTLE HOTEL,1112 4TH AVE,98101.0,7,DOWNTOWN,47.60718204,-122.33347215,1998,1,25.0,333176,61161,Hotel,Hotel,336640.0,,,,,,32.0,82.3,83.1,207.2,208.0,27717026.0,94574417,27970822.0,95440405,5426396.0,18515631,5585560,19058722.0,32327.0,3232700.0,11030430,0.0,723.4,1.93,No,,Compliant,
17,2015,NonResidential,Hotel,EXECUTIVE PACIFIC PLAZA,400 SPRING ST,98104.0,7,DOWNTOWN,47.60709939,-122.33310536,1928,1,9.0,65009,0,Hotel,Hotel,65009.0,,,,,,39.0,104.7,96.8,166.5,158.2,6807227.0,23227222,6292213.0,21469921,1987163.0,6780481,473326,1615057.0,32051.0,3205074.0,10936166,0.0,334.87,5.04,No,,Compliant,
18,2015,NonResidential,Hotel,CROWNE PLAZA,1113 6TH AVE,98101.0,7,DOWNTOWN,47.60809326,-122.33211517,1980,1,33.0,315952,57600,"Hotel, Parking",Hotel,295511.0,Parking,57600.0,,,,56.0,77.2,77.2,183.2,183.2,22811690.0,77836716,22811690.0,77836716,4731090.0,16143149,4129637,14090906.0,39903.0,3990280.0,13615400,0.0,675.34,1.95,Yes,,Compliant,
19,2015,NonResidential,Hotel,HOTEL VINTAGE PARK,1100 5TH AVE,98101.0,7,DOWNTOWN,47.60761642,-122.3323288,1922,1,11.0,67390,0,,,,,,,,,14.0,166.1,175.7,317.4,326.0,10711451.0,36548987,11329230.0,38656936,4403788.0,15026348,1198487,4089407.0,22184.0,2218425.0,7569580,0.0,486.25,6.95,No,,Compliant,
21,2015,Nonresidential COS,Other,SEATTLE CENTRAL LIBRARY,1000 4TH AVE,98104.0,7,DOWNTOWN,47.60667501,-122.33226425,2004,1,11.0,412000,57000,"Data Center, Library, Parking",Library,364913.0,Parking,49000.0,Data Center,1074.0,,,46.0,45.3,140.8,137.6,16849234.0,57491972,16594622.0,56623200,703184.0,2399363,4732136,16146718.0,0.0,0.0,0,0.0,166.84,0.24,No,,Compliant,
22,2015,NonResidential,Other,DOWNTOWN SEATTLE YMCA,909 4TH AVE,98104.0,7,DOWNTOWN,47.60544586,-122.33280182,1930,1,6.0,103911,0,"Fitness Center/Health Club/Gym, Office, Swimming Pool",Fitness Center/Health Club/Gym,90000.0,Office,40000.0,Swimming Pool,0.0,,,79.5,83.4,173.7,178.4,10340282.0,35282506,10843936.0,37001045,4398022.0,15006673,1549824,5288219.0,6543.0,654260.0,2232427,0.0,411.09,3.74,No,,Compliant,
